epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,9036.93,1.02869,2.65434,1.1422,1.35624,0.58494,0.31599,0.32545,0.18486,0.48522,0.26394,0.24007,0.11346,1.21042,2.82718,8.05177,1.42605,0.0014258,0.0014258,0.0014258
31,9349.43,1.03365,2.69143,1.15289,1.36073,0.617,0.29045,0.32996,0.18776,0.50361,0.25093,0.24552,0.12473,1.18699,2.67186,6.19456,1.41806,0.001406,0.001406,0.001406
32,9699.47,1.01482,2.63618,1.12099,1.34087,0.52528,0.32342,0.32314,0.18875,0.52205,0.24907,0.2453,0.12388,1.19869,2.6929,7.25743,1.45378,0.0013862,0.0013862,0.0013862
33,10048.1,1.00706,2.63579,1.09997,1.33828,0.52408,0.31599,0.30181,0.17776,0.41587,0.2881,0.23422,0.12208,1.27263,2.75823,9.13622,1.53377,0.0013664,0.0013664,0.0013664
34,10396.6,1.0021,2.62233,1.10131,1.33925,0.48673,0.34547,0.32743,0.18347,0.43147,0.32342,0.26729,0.12998,1.14031,2.57947,7.10391,1.37622,0.0013466,0.0013466,0.0013466
35,10744.9,1.00677,2.61412,1.11145,1.33408,0.50225,0.33197,0.3366,0.19093,0.43762,0.2881,0.26098,0.12987,1.16613,2.57459,6.50304,1.42391,0.0013268,0.0013268,0.0013268
36,11093,1.00553,2.61177,1.09854,1.33404,0.61585,0.3197,0.33477,0.19244,0.54066,0.28067,0.2622,0.13593,1.24012,2.66383,4.70893,1.45037,0.001307,0.001307,0.001307
37,11441.6,1.0087,2.58389,1.09367,1.33494,0.58441,0.31784,0.34745,0.19569,0.53284,0.27509,0.26775,0.12881,1.22109,2.65514,5.80657,1.46042,0.0012872,0.0012872,0.0012872
38,11789.7,0.99204,2.57269,1.06958,1.32483,0.5018,0.31784,0.31457,0.18185,0.42265,0.27695,0.24562,0.12788,1.14462,2.5795,8.09135,1.38325,0.0012674,0.0012674,0.0012674
39,12137.4,0.96962,2.54372,1.04288,1.31445,0.5634,0.34299,0.33314,0.18797,0.45352,0.30697,0.2528,0.12377,1.2004,2.53877,5.01088,1.44361,0.0012476,0.0012476,0.0012476
